,Sales Order,Stage,Total Distance
0,27997929,STG3,92.58333333333334
1,28018206,STG3,92.58333333333334
2,28025370,STG3,294.41666666666663
3,28057994,STG3,294.41666666666663
4,28100693,STG3,543.4166666666664
5,28134353,STG3,346.5
6,28173054,STG3,519.4166666666665
7,28173537,STG3,278.25
8,28206336,STG3,158.58333333333334
9,28206932,STG3,483.6666666666667
10,28214174,STG3,92.33333333333334
11,28247291,STG3,294.41666666666663
12,28254238,STG3,286.33333333333337
13,28262672,STG3,490.1666666666667
14,28319604,STG3,52.16666666666667
15,28341512,STG3,213.83333333333334
16,28349474,STG3,52.16666666666667
17,28395170,STG3,52.16666666666667
18,28401062,STG3,44.083333333333336
19,28410388,STG3,483.6666666666667
20,28425359,STG3,246.16666666666666
21,28431349,STG3,124.66666666666667
22,28465036,STG3,451.5833333333333
23,28467858,STG3,483.6666666666667
24,28481598,STG3,76.16666666666667
25,28486966,STG3,312.16666666666663
26,28504051,STG3,395.0
27,28512093,STG3,166.66666666666669
28,28538982,STG3,102.25
29,28547899,STG3,296.0
30,28586434,STG3,60.0
31,28587453,STG3,296.0
32,28592118,STG3,419.25
33,28592203,STG3,110.33333333333334
34,28594289,STG3,451.5833333333333
35,28594602,STG3,110.33333333333334
36,28594807,STG3,134.58333333333334
37,28595012,STG3,229.75
38,28595267,STG3,552.3749999999998
39,28595281,STG3,110.33333333333334
40,28595338,STG3,660.9166666666669
41,28596501,STG3,263.91666666666663
42,28602252,STG3,552.3749999999999
43,28612291,STG3,362.6666666666667
44,28622773,STG3,44.083333333333336
45,28632360,STG3,52.16666666666667
46,28659528,STG3,475.8333333333333
47,28661824,STG3,149.16666666666669
48,28667699,STG3,221.66666666666666
49,28730872,STG3,591.9166666666667
50,28731772,STG3,78.0
51,28732968,STG3,761.9583333333336
52,28740432,STG3,118.16666666666667
53,28747509,STG3,221.66666666666666
54,28770594,STG3,229.75
55,28782247,STG3,44.083333333333336
56,28783169,STG3,150.75
57,28790228,STG3,165.33333333333334
58,28791032,STG3,395.0
59,28819764,STG3,149.16666666666669
60,28819851,STG3,221.66666666666666
61,28820462,STG3,483.6666666666667
62,28825711,STG3,86.08333333333333
63,28826911,STG3,142.41666666666666
64,28827279,STG3,221.66666666666666
65,28834745,STG3,149.16666666666669
66,28840870,STG3,510.45833333333354
67,28862124,STG3,44.083333333333336
68,28863180,STG3,450.0
69,28868346,STG3,395.0
70,28868737,STG3,44.083333333333336
71,28885489,STG3,116.58333333333334
72,28907313,STG3,361.0833333333333
73,28907545,STG3,142.41666666666666
74,28907728,STG3,102.0
75,28907913,STG3,346.5
76,28913161,STG3,141.08333333333331
77,28933933,STG3,354.5833333333333
78,28947877,STG3,552.3749999999999
79,28953040,STG3,510.45833333333354
80,28955904,STG3,44.083333333333336
81,28968177,STG3,519.4166666666671
82,28974495,STG3,52.16666666666667
83,28975612,STG3,263.66666666666663
84,28976410,STG3,263.66666666666663
85,28977669,STG3,229.75
86,28990824,STG3,36.0
87,28996430,STG3,44.083333333333336
88,28997202,STG3,3169.958333333335
89,28997249,STG3,174.75
90,28997394,STG3,238.08333333333334
91,29002545,STG3,395.0
92,29011289,STG3,173.41666666666666
93,29019134,STG3,148.91666666666669
94,29031573,STG3,118.41666666666666
95,29039928,STG3,213.58333333333334
96,29040008,STG3,279.83333333333337
97,29040487,STG3,467.5
98,29040755,STG3,124.66666666666667
99,29042528,STG3,36.0
100,29044658,STG3,44.083333333333336
101,29047735,STG3,534.4583333333337
102,29049845,STG3,320.6666666666667
103,29050419,STG3,84.5
104,29050640,STG3,543.4166666666665
105,29050641,STG3,604.2916666666666
106,29052723,STG3,519.4166666666672
107,29054997,STG3,427.3333333333333
108,29054998,STG3,427.3333333333333
109,29055001,STG3,427.3333333333333
110,29055002,STG3,116.83333333333333
111,29055005,STG3,427.3333333333333
112,29055025,STG3,100.66666666666667
113,29055205,STG3,92.33333333333334
114,29056566,STG3,44.083333333333336
115,29056792,STG3,797.041666666667
116,29056800,STG3,563.7499999999999
117,29056824,STG3,1441.625000000001
118,29056970,STG3,207.08333333333331
119,29057025,STG3,44.083333333333336
120,29057041,STG3,696.9999999999999
121,29057100,STG3,1777.250000000002
122,29057160,STG3,189.33333333333331
123,29057192,STG3,410.9166666666667
124,29057283,STG3,278.25
125,29057366,STG3,401.5
126,29057370,STG3,519.4166666666671
127,29057416,STG3,182.83333333333331
128,29058385,STG3,774.7083333333331
129,29058386,STG3,118.41666666666666
130,29058390,STG3,3907.4583333333344
131,29058401,STG3,1752.8750000000016
132,29058409,STG3,3560.166666666667
133,29058410,STG3,519.4166666666665
134,29058416,STG3,764.9583333333336
135,29058421,STG3,4300.250000000003
136,29059628,STG3,335.70833333333337
137,29060044,STG3,246.16666666666666
138,29060048,STG3,183.08333333333331
139,29060080,STG3,100.66666666666667
140,29060156,STG3,221.91666666666666
141,29060173,STG3,519.4166666666671
142,29060181,STG3,519.4166666666671
143,29060204,STG3,239.66666666666666
144,29060235,STG3,565.9583333333333
145,29060306,STG3,377.0
146,29060339,STG3,510.4583333333339
147,29060360,STG3,1356.1250000000002
148,29060549,STG3,458.5416666666673
149,29060602,STG3,52.16666666666667
150,29060700,STG3,141.08333333333331
151,29060707,STG3,158.58333333333334
152,29060724,STG3,519.4166666666665
153,29060746,STG3,263.66666666666663
154,29060750,STG3,394.75
155,29060762,STG3,1061.583333333334
156,29060793,STG3,497.3749999999999
157,29060900,STG3,748.541666666667
158,29060906,STG3,52.16666666666667
159,29060927,STG3,44.083333333333336
160,29060945,STG3,94.16666666666667
161,29061075,STG3,205.5
162,29061113,STG3,1243.208333333334
163,29061168,STG3,181.25
164,29061219,STG3,389.7083333333335
165,29061250,STG3,490.1666666666667
166,29061282,STG3,587.7500000000006
167,29061284,STG3,124.66666666666667
168,29061395,STG3,433.8333333333333
169,29061404,STG3,158.83333333333331
170,29061420,STG3,141.08333333333331
171,29061427,STG3,1247.125000000001
172,29061457,STG3,433.8333333333333
173,29061464,STG3,44.083333333333336
174,29061468,STG3,508.1666666666667
175,29061478,STG3,173.16666666666669
176,29061496,STG3,2211.000000000001
177,29061505,STG3,94.16666666666667
178,29061535,STG3,1032.5000000000002
179,29061581,STG3,304.08333333333337
180,29061597,STG3,158.83333333333331
181,29061605,STG3,563.0000000000003
182,29061644,STG3,141.08333333333331
183,29061698,STG3,94.16666666666667
184,29061732,STG3,44.083333333333336
185,29061749,STG3,490.1666666666667
186,29061845,STG3,389.7083333333335
187,29061846,STG3,389.7083333333335
188,29061887,STG3,157.25
189,29061919,STG3,158.58333333333334
190,29061928,STG3,141.08333333333331
191,29061946,STG3,1161.7083333333342
192,29061951,STG3,304.08333333333337
193,29061957,STG3,385.0833333333333
194,29061977,STG3,157.25
195,29062023,STG3,124.66666666666667
196,29062057,STG3,510.4583333333334
197,29062153,STG3,246.16666666666666
198,29062154,STG3,319.54166666666674
199,29062191,STG3,100.66666666666667
200,29062234,STG3,676.7916666666675
201,29062261,STG3,385.3333333333333
202,29062283,STG3,158.58333333333334
203,29062328,STG3,416.54166666666674
204,29062388,STG3,1238.3750000000005
205,29062506,STG3,157.25
206,29062508,STG3,141.08333333333331
207,29062520,STG3,158.83333333333331
208,29062522,STG3,519.4166666666665
209,29062530,STG3,174.75
210,29062542,STG3,246.16666666666666
211,29062547,STG3,2430.708333333334
212,29062620,STG3,534.4583333333337
213,29062629,STG3,482.3333333333333
214,29062654,STG3,304.08333333333337
215,29062660,STG3,320.6666666666667
216,29062683,STG3,462.20833333333405
217,29062720,STG3,1813.6250000000007
218,29062722,STG3,44.083333333333336
219,29062729,STG3,118.41666666666666
220,29062730,STG3,482.3333333333333
221,29062734,STG3,328.5
222,29062735,STG3,636.3750000000001
223,29062742,STG3,1616.2083333333348
224,29062773,STG3,118.41666666666666
225,29062877,STG3,294.4166666666667
226,29062881,STG3,149.16666666666669
227,29063038,STG3,434.2916666666672
228,29063102,STG3,543.4166666666671
229,29063495,STG3,102.25
230,29064586,STG3,427.3333333333333
231,29064802,STG3,140.83333333333331
232,29065030,STG3,842.4166666666669
233,29065214,STG3,44.083333333333336
234,29065425,STG3,777.75
235,29065475,STG3,368.29166666666663
236,29065516,STG3,157.25
237,29065519,STG3,519.4166666666671
238,29065520,STG3,304.08333333333337
239,29065548,STG3,150.75
240,29065612,STG3,124.66666666666667
241,29065659,STG3,157.0
242,29065705,STG3,312.16666666666697
243,29065778,STG3,2014.0000000000014
244,29065841,STG3,94.16666666666667
245,29065860,STG3,378.5833333333333
246,29066176,STG3,312.16666666666663
247,29066177,STG3,482.3333333333332
248,29066283,STG3,534.4583333333338
249,29066309,STG3,385.0833333333333
250,29066437,STG3,2358.0833333333353
251,29066549,STG3,141.08333333333331
252,29066640,STG3,304.08333333333337
253,29066743,STG3,158.83333333333348
254,29066768,STG3,158.83333333333348
255,29066802,STG3,118.41666666666666
256,29066863,STG3,44.083333333333336
257,29066865,STG3,320.6666666666667
258,29066953,STG3,304.08333333333337
259,29066954,STG3,433.8333333333333
260,29066956,STG3,158.83333333333331
261,29066961,STG3,157.25
262,29066994,STG3,157.25
263,29067013,STG3,742.5000000000011
264,29067031,STG3,52.16666666666667
265,29067123,STG3,786.2083333333336
266,29067164,STG3,173.16666666666666
267,29067179,STG3,708.1250000000003
268,29067230,STG3,530.5416666666671
269,29067244,STG3,1053.5000000000002
270,29067488,STG3,68.08333333333333
271,29067489,STG3,141.08333333333331
272,29067534,STG3,116.83333333333333
273,29067539,STG3,534.4583333333338
274,29067582,STG3,158.58333333333334
275,29067593,STG3,158.58333333333334
276,29067639,STG3,116.83333333333333
277,29067748,STG3,108.75
278,29067749,STG3,519.416666666667
279,29067750,STG3,215.16666666666669
280,29067752,STG3,534.4583333333337
281,29067753,STG3,870.9583333333335
282,29067755,STG3,328.75
