,Sales Order,Stage,Total Distance
0,27997929,STG0,252.41666666666666
1,28018206,STG0,252.41666666666666
2,28025370,STG0,105.08333333333333
3,28057994,STG0,105.08333333333333
4,28100693,STG0,534.4583333333337
5,28134353,STG0,470.5833333333333
6,28173054,STG0,372.95833333333337
7,28173537,STG0,381.9166666666667
8,28206336,STG0,338.4166666666667
9,28206932,STG0,207.08333333333331
10,28214174,STG0,213.83333333333334
11,28247291,STG0,105.08333333333333
12,28254238,STG0,60.0
13,28262672,STG0,483.6666666666667
14,28319604,STG0,489.83333333333337
15,28341512,STG0,409.5833333333333
16,28349474,STG0,489.83333333333337
17,28395170,STG0,489.83333333333337
18,28401062,STG0,482.3333333333333
19,28410388,STG0,207.08333333333331
20,28425359,STG0,474.25
21,28431349,STG0,52.16666666666667
22,28465036,STG0,142.41666666666666
23,28467858,STG0,207.08333333333331
24,28481598,STG0,255.5
25,28486966,STG0,405.9166666666667
26,28504051,STG0,234.66666666666666
27,28512093,STG0,73.0
28,28538982,STG0,378.8333333333333
29,28547899,STG0,519.1666666666667
30,28586434,STG0,845.5
31,28587453,STG0,519.1666666666667
32,28592118,STG0,248.75
33,28592203,STG0,412.75
34,28594289,STG0,142.41666666666666
35,28594602,STG0,412.75
36,28594807,STG0,173.41666666666666
37,28595012,STG0,602.6666666666666
38,28595267,STG0,296.0000000000002
39,28595281,STG0,412.75
40,28595338,STG0,1572.9166666666679
41,28596501,STG0,450.9166666666667
42,28602252,STG0,199.2500000000001
43,28612291,STG0,123.08333333333333
44,28622773,STG0,482.3333333333333
45,28632360,STG0,489.83333333333337
46,28659528,STG0,287.58333333333337
47,28661824,STG0,133.0
48,28667699,STG0,377.25
49,28730872,STG0,706.8749999999998
50,28731772,STG0,635.0833333333333
51,28732968,STG0,3072.083333333337
52,28740432,STG0,157.25
53,28747509,STG0,377.25
54,28770594,STG0,602.6666666666666
55,28782247,STG0,482.3333333333333
56,28783169,STG0,641.9166666666666
57,28790228,STG0,502.25
58,28791032,STG0,234.66666666666666
59,28819764,STG0,133.0
60,28819851,STG0,377.25
61,28820462,STG0,207.08333333333331
62,28825711,STG0,485.08333333333337
63,28826911,STG0,691.75
64,28827279,STG0,377.25
65,28834745,STG0,133.0
66,28840870,STG0,1150.916666666666
67,28862124,STG0,482.3333333333333
68,28863180,STG0,287.6666666666667
69,28868346,STG0,234.66666666666666
70,28868737,STG0,482.3333333333333
71,28885489,STG0,89.16666666666667
72,28907313,STG0,236.25
73,28907545,STG0,691.75
74,28907728,STG0,319.91666666666663
75,28907913,STG0,470.5833333333333
76,28913161,STG0,124.91666666666667
77,28933933,STG0,336.33333333333337
78,28947877,STG0,199.2500000000001
79,28953040,STG0,1150.916666666666
80,28955904,STG0,482.3333333333333
81,28968177,STG0,382.62500000000034
82,28974495,STG0,489.83333333333337
83,28975612,STG0,213.58333333333334
84,28976410,STG0,213.58333333333334
85,28977669,STG0,602.6666666666666
86,28990824,STG0,186.0
