antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'ITM742'}),frozenset({'ITM1130'}),0.03547741867565007,0.029108327192336036,0.008632487630276872,0.24332344213649854,8.359238252638697,0.007599799319526557,1.2830999754360108
frozenset({'ITM742'}),frozenset({'ITM5011'}),0.03547741867565007,0.023107695546899672,0.010211601221181177,0.2878338278931751,12.456189208005787,0.009391799831634361,1.3717196108362286
frozenset({'ITM742'}),frozenset({'ITM677'}),0.03547741867565007,0.02184440467417623,0.00857985051058006,0.24183976261127596,11.071016409853062,0.007804867420233983,1.2901700024454112
frozenset({'ITM742'}),frozenset({'ITM5012'}),0.03547741867565007,0.02163385619538899,0.008632487630276872,0.24332344213649854,11.247344899535763,0.007864974256464251,1.2929780018123682
frozenset({'ITM742'}),frozenset({'ITM373'}),0.03547741867565007,0.01894936309085167,0.007527108116643857,0.21216617210682492,11.19648038245961,0.006854833628632802,1.2452507142688622
frozenset({'ITM742'}),frozenset({'ITM149'}),0.03547741867565007,0.017107063901463312,0.015370038951468575,0.43323442136498513,25.32488472951381,0.014763124483125261,1.7342142380377321
frozenset({'ITM742'}),frozenset({'ITM328'}),0.03547741867565007,0.015159490472681334,0.004158332456048005,0.1172106824925816,7.73183522914606,0.003620512865639161,1.1156008460864082
frozenset({'ITM742'}),frozenset({'ITM158'}),0.03547741867565007,0.014948941993894094,0.0035266870196862827,0.09940652818991098,6.64973669912651,0.0029963371458108946,1.0937799227283616
frozenset({'ITM742'}),frozenset({'ITM789'}),0.03547741867565007,0.014054110959048322,0.005263711969681019,0.1483679525222552,10.556907722913126,0.0047651083910728205,1.1577134655289225
frozenset({'ITM742'}),frozenset({'ITM6416'}),0.03547741867565007,0.013159279924202547,0.007211285398462996,0.2032640949554896,15.446445103857567,0.006744428115121985,1.2386045536891759
frozenset({'ITM742'}),frozenset({'ITM6246'}),0.03547741867565007,0.012317086009053584,0.004579429413622486,0.129080118694362,10.479761089553374,0.004142450996415301,1.134068626967458
frozenset({'ITM742'}),frozenset({'ITM6495'}),0.03547741867565007,0.011790714812085483,0.00284240446362775,0.0801186943620178,6.795066765578634,0.0024241003377542046,1.0742791261558942
frozenset({'ITM742'}),frozenset({'ITM6182'}),0.03547741867565007,0.010685335298452468,0.0021054847878724074,0.05934718100890207,5.554077560626215,0.001726396673799507,1.0517319937047998
frozenset({'ITM742'}),"frozenset({'ITM677', 'ITM5012'})",0.03547741867565007,0.010369512580271608,0.005263711969681019,0.1483679525222552,14.308093208212204,0.004895828430408303,1.1620399800015626
frozenset({'ITM742'}),frozenset({'ITM3164'}),0.03547741867565007,0.010264238340877987,0.0047373407727129176,0.13353115727002968,13.009358593928328,0.004373192091706929,1.1422635331476854
frozenset({'ITM742'}),frozenset({'ITM5'}),0.03547741867565007,0.009895778503000316,0.004579429413622486,0.129080118694362,13.043957951890901,0.004228352736550046,1.1368487994701495
frozenset({'ITM742'}),"frozenset({'ITM5', 'ITM3164'})",0.03547741867565007,0.009106221707548164,0.004526792293925676,0.12759643916913946,14.012006655117407,0.004203727053853697,1.1358204193352253
frozenset({'ITM742'}),"frozenset({'ITM373', 'ITM5012'})",0.03547741867565007,0.00836930203179282,0.004579429413622486,0.129080118694362,15.423044622361568,0.004282508181417604,1.1386015169174983
frozenset({'ITM742'}),frozenset({'ITM5187'}),0.03547741867565007,0.00821139067270239,0.005790083166649121,0.1632047477744807,19.875408962946057,0.005498764221844331,1.185222557954962
frozenset({'ITM742'}),frozenset({'ITM6139'}),0.03547741867565007,0.00821139067270239,0.0017370249499947363,0.04896142433234422,5.962622688883817,0.0014457060051899459,1.0428479293082662
frozenset({'ITM742'}),"frozenset({'ITM373', 'ITM677'})",0.03547741867565007,0.00815875355300558,0.0046320665333192965,0.13056379821958455,16.002909926294627,0.00434261501764787,1.140786689599444
frozenset({'ITM742'}),"frozenset({'ITM1130', 'ITM677'})",0.03547741867565007,0.007527108116643857,0.0037898726181703336,0.10682492581602374,14.19202755701272,0.0035228302520992757,1.1111739686534585
frozenset({'ITM742'}),"frozenset({'ITM1130', 'ITM789'})",0.03547741867565007,0.007527108116643857,0.0034214127802926625,0.09643916913946587,12.812247100080928,0.0031543704142216046,1.098401854071235
frozenset({'ITM742'}),frozenset({'ITM5715'}),0.03547741867565007,0.007474470996947047,0.0011580166333298241,0.03264094955489614,4.366991265098006,0.0008928416963921302,1.0260156542148124
frozenset({'ITM742'}),frozenset({'ITM6245'}),0.03547741867565007,0.007158648278766186,0.0023160332666596482,0.06528189910979228,9.119305288881131,0.0020620629045221385,1.0621826524763676
frozenset({'ITM742'}),"frozenset({'ITM1130', 'ITM5012'})",0.03547741867565007,0.0071060111590693755,0.004158332456048005,0.1172106824925816,16.49458182217826,0.003906229523043859,1.124723610888718
frozenset({'ITM742'}),"frozenset({'ITM1130', 'ITM158'})",0.03547741867565007,0.0071060111590693755,0.002579218865143699,0.07270029673590504,10.230816573249808,0.0023271159321395533,1.0707368775660595
frozenset({'ITM742'}),"frozenset({'ITM373', 'ITM1130'})",0.03547741867565007,0.006737551321191705,0.0037372354984735235,0.10534124629080119,15.634945289317507,0.0034982045694029263,1.1102137486061638
frozenset({'ITM742'}),frozenset({'ITM6520'}),0.03547741867565007,0.0065270028424044635,0.0016317507106011159,0.04599406528189911,7.04673590504451,0.0014001894980639746,1.041369829057884
frozenset({'ITM742'}),frozenset({'ITM6548'}),0.03547741867565007,0.006421728603010843,0.0014738393515106854,0.04154302670623146,6.469134601352338,0.0012460129972402722,1.0366435834699237
