antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
ITM742,ITM1130,0.03547741867565007,0.029108327192336036,0.008632487630276872,0.2433234421364985,8.359238252638697,0.007599799319526556,1.2830999754360108
ITM742,ITM5011,0.03547741867565007,0.023107695546899672,0.010211601221181177,0.2878338278931751,12.456189208005785,0.00939179983163436,1.3717196108362286
ITM742,ITM677,0.03547741867565007,0.02184440467417623,0.008579850510580059,0.241839762611276,11.071016409853062,0.007804867420233983,1.2901700024454112
ITM742,ITM5012,0.03547741867565007,0.02163385619538899,0.008632487630276872,0.2433234421364985,11.247344899535763,0.007864974256464251,1.2929780018123682
ITM742,ITM373,0.03547741867565007,0.01894936309085167,0.007527108116643856,0.21216617210682487,11.19648038245961,0.006854833628632802,1.2452507142688622
ITM742,ITM149,0.03547741867565007,0.017107063901463312,0.015370038951468575,0.4332344213649851,25.32488472951381,0.01476312448312526,1.734214238037732
ITM742,ITM328,0.03547741867565007,0.015159490472681334,0.004158332456048005,0.1172106824925816,7.73183522914606,0.003620512865639161,1.1156008460864082
ITM742,ITM158,0.03547741867565007,0.014948941993894094,0.0035266870196862827,0.09940652818991097,6.649736699126509,0.0029963371458108946,1.0937799227283616
ITM742,ITM789,0.03547741867565007,0.014054110959048322,0.0052637119696810186,0.1483679525222552,10.556907722913127,0.004765108391072821,1.1577134655289223
ITM742,ITM6416,0.03547741867565007,0.013159279924202549,0.007211285398462996,0.2032640949554896,15.446445103857567,0.006744428115121985,1.238604553689176
ITM742,ITM6246,0.03547741867565007,0.012317086009053584,0.0045794294136224855,0.129080118694362,10.479761089553373,0.004142450996415301,1.134068626967458
ITM742,ITM6495,0.03547741867565007,0.011790714812085485,0.00284240446362775,0.0801186943620178,6.795066765578634,0.002424100337754205,1.0742791261558942
ITM742,ITM6182,0.03547741867565007,0.010685335298452468,0.0021054847878724074,0.05934718100890207,5.554077560626215,0.0017263966737995071,1.0517319937047998
ITM742,ITM3164,0.03547741867565007,0.010264238340877987,0.0047373407727129176,0.13353115727002968,13.009358593928328,0.004373192091706929,1.1422635331476854
ITM742,ITM5,0.03547741867565007,0.009895778503000316,0.0045794294136224855,0.129080118694362,13.043957951890901,0.004228352736550046,1.1368487994701495
ITM742,ITM5187,0.03547741867565007,0.008211390672702391,0.005790083166649121,0.1632047477744807,19.875408962946054,0.005498764221844331,1.185222557954962
ITM742,ITM6139,0.03547741867565007,0.008211390672702391,0.0017370249499947365,0.04896142433234422,5.962622688883817,0.001445706005189946,1.0428479293082662
ITM742,ITM5715,0.03547741867565007,0.007474470996947047,0.0011580166333298241,0.03264094955489614,4.366991265098006,0.0008928416963921303,1.0260156542148124
ITM742,ITM6245,0.03547741867565007,0.007158648278766186,0.0023160332666596482,0.06528189910979228,9.119305288881133,0.0020620629045221385,1.0621826524763676
ITM742,ITM6520,0.03547741867565007,0.006527002842404464,0.001631750710601116,0.045994065281899116,7.0467359050445095,0.0014001894980639744,1.0413698290578841
ITM742,ITM6548,0.03547741867565007,0.006421728603010843,0.0014738393515106856,0.041543026706231466,6.469134601352337,0.0012460129972402722,1.0366435834699237
ITM742,ITM929,0.03547741867565007,0.006158543004526792,0.0022633961469628377,0.06379821958456973,10.35930406553552,0.0020449069383592453,1.061567578470601
ITM742,ITM6242,0.03547741867565007,0.005737446046952311,0.0021054847878724074,0.05934718100890207,10.343832521166252,0.0019019350123357266,1.0569920526251642
ITM742,ITM6473,0.03547741867565007,0.00536898620907464,0.002210759027266028,0.062314540059347175,11.606388549485073,0.0020202812556628963,1.0607299102770311
ITM742,ITM6415,0.03547741867565007,0.005211074849984209,0.003474049899989473,0.09792284866468844,18.791295746785366,0.0032891744157864324,1.1027758808406427
ITM742,ITM5188,0.03547741867565007,0.005105800610590588,0.003579324139383093,0.10089020771513353,19.759919238887697,0.0033981835134467807,1.1065324923902011
ITM742,ITM1546,0.03547741867565007,0.004684703653016107,0.0015264764712074955,0.043026706231454014,9.184509718934418,0.0013602752783380956,1.0400659065703366
ITM742,ITM6249,0.03547741867565007,0.0046320665333192965,0.0018949363090851668,0.05341246290801187,11.531022390072836,0.0017306025453491312,1.051532895229691
ITM742,ITM5186,0.03547741867565007,0.0045794294136224855,0.003263501421202232,0.09198813056379823,20.087247177598144,0.0031010350865995602,1.0962638310052588
ITM742,ITM6472,0.03547741867565007,0.0045794294136224855,0.002473944625750079,0.06973293768545995,15.227429312050207,0.0023114782911474075,1.0700374235649417
ITM742,ITM6248,0.03547741867565007,0.0045794294136224855,0.0021054847878724074,0.05934718100890207,12.959514308127835,0.001943018453269736,1.0582231302448242
ITM742,ITM376,0.03547741867565007,0.0045794294136224855,0.0017370249499947365,0.04896142433234422,10.691599304205466,0.0015745586153920648,1.0466668714121974
ITM742,ITM6563,0.03547741867565007,0.004474155174228865,0.0010001052742393936,0.02818991097922849,6.300610926863327,0.00084137379790345,1.0244036937596486
ITM742,ITM472,0.03547741867565007,0.004368880934835246,0.0013159279924202546,0.0370919881305638,8.490043259089772,0.0011609313743510393,1.0339836275037304
ITM742,ITM377,0.03547741867565007,0.0038425097378671437,0.0015791135909043056,0.04451038575667656,11.58367546034714,0.0014427912641687306,1.0425623422929775
ITM742,ITM6326,0.03547741867565007,0.0036845983787767134,0.0016843878302979262,0.04747774480712166,12.88545994065282,0.0015536677909624432,1.0459759823873902
ITM742,ITM6432,0.03547741867565007,0.0035266870196862827,0.001421202231813875,0.0400593471810089,11.3589175782807,0.0012960844798784845,1.0380572070304968
