,Sales Order,Stage,Total Distance
0,27997929,STG1,84.5
1,28018206,STG1,84.5
2,28025370,STG1,230.0
3,28057994,STG1,230.0
4,28100693,STG1,483.0416666666671
5,28134353,STG1,328.5
6,28173054,STG1,543.416666666667
7,28173537,STG1,231.33333333333334
8,28206336,STG1,126.5
9,28206932,STG1,492.0
10,28214174,STG1,76.41666666666666
11,28247291,STG1,230.0
12,28254238,STG1,231.58333333333334
13,28262672,STG1,457.8333333333333
14,28319604,STG1,60.0
15,28341512,STG1,205.75
16,28349474,STG1,60.0
17,28395170,STG1,60.0
18,28401062,STG1,44.083333333333336
19,28410388,STG1,492.0
20,28425359,STG1,221.91666666666666
21,28431349,STG1,157.0
22,28465036,STG1,467.5
23,28467858,STG1,492.0
24,28481598,STG1,68.33333333333334
25,28486966,STG1,304.5
26,28504051,STG1,368.9166666666667
27,28512093,STG1,126.25
28,28538982,STG1,100.66666666666667
29,28547899,STG1,288.16666666666663
30,28586434,STG1,60.25
31,28587453,STG1,288.16666666666663
32,28592118,STG1,370.5
33,28592203,STG1,118.16666666666667
34,28594289,STG1,467.5
35,28594602,STG1,118.16666666666667
36,28594807,STG1,118.41666666666666
37,28595012,STG1,199.25
38,28595267,STG1,506.33333333333314
39,28595281,STG1,118.16666666666667
40,28595338,STG1,797.7083333333337
41,28596501,STG1,287.91666666666663
42,28602252,STG1,377.0
43,28612291,STG1,338.4166666666667
44,28622773,STG1,44.083333333333336
45,28632360,STG1,60.0
46,28659528,STG1,508.1666666666667
47,28661824,STG1,174.75
48,28667699,STG1,205.5
49,28730872,STG1,701.9583333333329
50,28731772,STG1,92.58333333333334
51,28732968,STG1,745.6666666666671
52,28740432,STG1,108.75
53,28747509,STG1,205.5
54,28770594,STG1,199.25
55,28782247,STG1,44.083333333333336
56,28783169,STG1,134.33333333333334
57,28790228,STG1,182.83333333333331
58,28791032,STG1,368.9166666666667
59,28819764,STG1,174.75
60,28819851,STG1,205.5
