,Sales Order,Stage,Total Distance
0,27997929,STG2,110.33333333333334
1,28018206,STG2,110.33333333333334
2,28025370,STG2,181.25
3,28057994,STG2,181.25
4,28100693,STG2,499.20833333333366
5,28134353,STG2,361.0833333333333
6,28173054,STG2,543.4166666666667
7,28173537,STG2,189.33333333333334
8,28206336,STG2,133.0
9,28206932,STG2,508.1666666666667
10,28214174,STG2,52.16666666666667
11,28247291,STG2,181.25
12,28254238,STG2,197.41666666666666
13,28262672,STG2,449.75
14,28319604,STG2,44.083333333333336
15,28341512,STG2,239.66666666666666
16,28349474,STG2,44.083333333333336
17,28395170,STG2,44.083333333333336
18,28401062,STG2,36.0
19,28410388,STG2,508.1666666666667
20,28425359,STG2,247.75
21,28431349,STG2,126.5
22,28465036,STG2,441.9166666666667
23,28467858,STG2,508.1666666666667
24,28481598,STG2,94.16666666666667
25,28486966,STG2,344.6666666666667
26,28504051,STG2,378.5833333333333
27,28512093,STG2,124.91666666666667
28,28538982,STG2,68.33333333333334
29,28547899,STG2,320.4166666666667
30,28586434,STG2,60.0
31,28587453,STG2,320.4166666666667
32,28592118,STG2,386.6666666666667
33,28592203,STG2,124.66666666666667
34,28594289,STG2,441.9166666666667
35,28594602,STG2,124.66666666666667
36,28594807,STG2,108.75
37,28595012,STG2,247.5
38,28595267,STG2,528.375
39,28595281,STG2,124.66666666666667
40,28595338,STG2,721.3749999999998
41,28596501,STG2,294.41666666666663
42,28602252,STG2,394.75000000000006
43,28612291,STG2,312.16666666666663
44,28622773,STG2,36.0
45,28632360,STG2,44.083333333333336
46,28659528,STG2,499.8333333333333
47,28661824,STG2,174.75
48,28667699,STG2,239.41666666666666
49,28730872,STG2,636.2499999999997
50,28731772,STG2,118.41666666666666
51,28732968,STG2,591.7916666666664
52,28740432,STG2,84.5
53,28747509,STG2,239.41666666666666
54,28770594,STG2,247.5
55,28782247,STG2,36.0
56,28783169,STG2,132.75
57,28790228,STG2,191.16666666666669
58,28791032,STG2,378.5833333333333
59,28819764,STG2,174.75
60,28819851,STG2,239.41666666666666
61,28820462,STG2,508.1666666666667
62,28825711,STG2,126.25
63,28826911,STG2,92.33333333333334
64,28827279,STG2,239.41666666666666
65,28834745,STG2,174.75
66,28840870,STG2,510.45833333333377
67,28862124,STG2,36.0
68,28863180,STG2,433.5833333333333
69,28868346,STG2,378.5833333333333
70,28868737,STG2,36.0
71,28885489,STG2,134.58333333333334
72,28907313,STG2,394.75
73,28907545,STG2,92.33333333333334
74,28907728,STG2,84.25
75,28907913,STG2,361.0833333333333
76,28913161,STG2,182.83333333333331
77,28933933,STG2,369.1666666666667
78,28947877,STG2,394.75000000000006
79,28953040,STG2,510.45833333333377
80,28955904,STG2,36.0
81,28968177,STG2,543.4166666666666
82,28974495,STG2,44.083333333333336
83,28975612,STG2,278.25
84,28976410,STG2,278.25
85,28977669,STG2,247.5
86,28990824,STG2,78.0
87,28996430,STG2,36.0
88,28997202,STG2,4086.625000000002
89,28997249,STG2,157.0
90,28997394,STG2,255.83333333333334
91,29002545,STG2,378.5833333333333
92,29011289,STG2,199.25
93,29019134,STG2,142.66666666666669
94,29031573,STG2,116.58333333333334
95,29039928,STG2,215.41666666666666
96,29040008,STG2,296.4166666666667
97,29040487,STG2,506.3333333333333
98,29040755,STG2,126.5
99,29042528,STG2,78.0
100,29044658,STG2,36.0
101,29047735,STG2,534.4583333333335
102,29049845,STG2,419.0
103,29050419,STG2,76.16666666666667
104,29050640,STG2,543.4166666666665
105,29050641,STG2,398.0416666666672
106,29052723,STG2,543.4166666666665
107,29054997,STG2,474.25
108,29054998,STG2,474.25
109,29055001,STG2,474.25
110,29055002,STG2,158.58333333333334
111,29055005,STG2,474.25
112,29055025,STG2,60.25
113,29055205,STG2,52.16666666666667
114,29056566,STG2,36.0
115,29056792,STG2,780.8750000000003
116,29056800,STG2,730.0000000000008
117,29056824,STG2,1542.1666666666679
118,29056970,STG2,213.83333333333334
119,29057025,STG2,36.0
120,29057041,STG2,1097.9583333333333
121,29057100,STG2,225.7083333333333
122,29057160,STG2,510.4583333333337
123,29057192,STG2,346.5
124,29057283,STG2,189.33333333333334
125,29057366,STG2,467.5
126,29057370,STG2,543.4166666666666
127,29057416,STG2,165.08333333333331
128,29058385,STG2,789.8749999999998
129,29058386,STG2,116.58333333333334
130,29058390,STG2,3008.458333333333
131,29058401,STG2,1344.2500000000007
132,29058409,STG2,3473.500000000001
133,29058410,STG2,474.70833333333366
134,29058416,STG2,854.6666666666667
135,29058421,STG2,3355.750000000001
136,29059628,STG2,410.0416666666671
137,29060044,STG2,247.75
138,29060048,STG2,165.33333333333334
139,29060080,STG2,60.25
140,29060156,STG2,255.58333333333334
141,29060173,STG2,543.4166666666665
142,29060181,STG2,543.4166666666665
143,29060204,STG2,286.33333333333337
144,29060235,STG2,704.4583333333336
145,29060306,STG2,419.25
146,29060339,STG2,510.45833333333377
147,29060360,STG2,1818.8333333333348
148,29060549,STG2,497.3749999999999
149,29060602,STG2,44.083333333333336
150,29060700,STG2,182.83333333333331
151,29060707,STG2,133.0
152,29060724,STG2,369.6250000000002
153,29060746,STG2,278.25
154,29060750,STG2,296.25
155,29060762,STG2,790.0000000000005
156,29060793,STG2,465.0416666666666
157,29060900,STG2,489.29166666666663
158,29060906,STG2,44.083333333333336
159,29060927,STG2,36.0
160,29060945,STG2,100.41666666666666
161,29061075,STG2,223.25
162,29061113,STG2,883.1666666666666
163,29061168,STG2,190.91666666666669
164,29061219,STG2,523.4583333333335
165,29061250,STG2,449.75
166,29061282,STG2,567.9166666666665
167,29061284,STG2,126.5
168,29061395,STG2,385.3333333333333
169,29061404,STG2,148.91666666666669
170,29061420,STG2,182.83333333333331
171,29061427,STG2,481.08333333333337
172,29061457,STG2,385.3333333333333
173,29061464,STG2,36.0
174,29061468,STG2,507.9166666666667
175,29061478,STG2,175.0
176,29061496,STG2,1055.7083333333335
177,29061505,STG2,100.41666666666666
178,29061535,STG2,1208.8750000000018
179,29061581,STG2,336.5833333333333
180,29061597,STG2,148.91666666666669
181,29061605,STG2,777.875
182,29061644,STG2,182.83333333333331
183,29061698,STG2,100.41666666666666
184,29061732,STG2,36.0
185,29061749,STG2,449.75
186,29061845,STG2,523.4583333333335
187,29061846,STG2,523.4583333333335
188,29061887,STG2,183.08333333333331
189,29061919,STG2,133.0
190,29061928,STG2,182.83333333333331
191,29061946,STG2,821.4166666666673
192,29061951,STG2,336.5833333333333
193,29061957,STG2,411.1666666666667
194,29061977,STG2,183.08333333333331
195,29062023,STG2,126.5
196,29062057,STG2,519.416666666667
197,29062153,STG2,247.75
198,29062154,STG2,519.4166666666666
199,29062191,STG2,60.25
200,29062234,STG2,630.8749999999999
201,29062261,STG2,451.3333333333333
202,29062283,STG2,133.0
203,29062328,STG2,802.375
204,29062388,STG2,1782.0416666666677
205,29062506,STG2,183.08333333333331
206,29062508,STG2,182.83333333333331
207,29062520,STG2,148.91666666666669
208,29062522,STG2,519.4166666666666
209,29062530,STG2,157.0
210,29062542,STG2,247.75
211,29062547,STG2,1610.8750000000002
212,29062620,STG2,534.4583333333338
213,29062629,STG2,433.8333333333333
214,29062654,STG2,336.5833333333333
215,29062660,STG2,419.0
216,29062683,STG2,845.541666666667
217,29062720,STG2,2344.0000000000014
218,29062722,STG2,36.0
219,29062729,STG2,116.58333333333334
220,29062730,STG2,433.8333333333333
221,29062734,STG2,386.9166666666667
222,29062735,STG2,624.4999999999998
223,29062742,STG2,2397.583333333335
224,29062773,STG2,116.58333333333334
225,29062877,STG2,221.66666666666669
226,29062881,STG2,174.75
227,29063038,STG2,543.4166666666666
228,29063102,STG2,465.0416666666665
229,29063495,STG2,68.33333333333334
230,29064586,STG2,474.25
231,29064802,STG2,142.41666666666666
232,29065030,STG2,955.7083333333335
233,29065214,STG2,36.0
234,29065425,STG2,726.2083333333336
235,29065475,STG2,434.29166666666697
236,29065516,STG2,183.08333333333331
237,29065519,STG2,543.4166666666666
238,29065520,STG2,336.5833333333333
239,29065548,STG2,132.75
240,29065612,STG2,126.5
241,29065659,STG2,150.75
242,29065705,STG2,335.70833333333337
243,29065778,STG2,1502.6666666666672
244,29065841,STG2,100.41666666666666
245,29065860,STG2,296.0
246,29066176,STG2,344.6666666666667
247,29066177,STG2,552.3749999999999
248,29066283,STG2,92.33333333333334
249,29066309,STG2,411.1666666666667
250,29066437,STG2,1217.666666666667
251,29066549,STG2,182.83333333333331
252,29066640,STG2,336.5833333333333
253,29066743,STG2,148.91666666666666
254,29066768,STG2,148.91666666666666
255,29066802,STG2,116.58333333333334
256,29066863,STG2,36.0
257,29066865,STG2,419.0
258,29066953,STG2,336.5833333333333
259,29066954,STG2,385.3333333333333
260,29066956,STG2,148.91666666666669
261,29066961,STG2,183.08333333333331
262,29066994,STG2,183.08333333333331
263,29067013,STG2,424.62499999999994
264,29067031,STG2,44.083333333333336
265,29067123,STG2,558.7083333333336
266,29067164,STG2,534.4583333333337
267,29067179,STG2,695.8750000000005
268,29067230,STG2,169.375
269,29067244,STG2,774.0833333333337
270,29067488,STG2,102.0
271,29067489,STG2,182.83333333333331
272,29067534,STG2,158.58333333333334
273,29067539,STG2,133.0
274,29067582,STG2,133.0
275,29067593,STG2,133.0
276,29067639,STG2,158.58333333333334
277,29067748,STG2,150.5
278,29067749,STG2,543.4166666666667
279,29067750,STG2,229.75
280,29067752,STG2,237.83333333333337
281,29067753,STG2,774.5833333333339
282,29067755,STG2,427.0833333333333
283,29067756,STG2,1303.9583333333335
284,29067757,STG2,247.75
285,29067758,STG2,238.08333333333334
286,29067759,STG2,543.4166666666672
287,29067760,STG2,1507.0833333333337
288,29067761,STG2,150.5
289,29067762,STG2,599.9999999999999
290,29067763,STG2,890.9166666666674
291,29067764,STG2,181.5
292,29067765,STG2,165.33333333333334
293,29067766,STG2,839.125000000001
294,29067768,STG2,344.9166666666667
295,29067769,STG2,394.75
296,29067770,STG2,425.75
297,29067771,STG2,472.9999999999999
298,29067773,STG2,229.75
299,29067775,STG2,612.125
300,29067776,STG2,1048.4166666666674
301,29067778,STG2,777.0833333333337
302,29067779,STG2,150.5
303,29067780,STG2,238.08333333333334
304,29067782,STG2,435.1666666666667
305,29067978,STG2,2014.6666666666663
306,29067983,STG2,552.3749999999999
307,29068008,STG2,543.416666666667
308,29068102,STG2,510.4583333333338
309,29068112,STG2,150.75
310,29068166,STG2,116.58333333333334
311,29068180,STG2,1052.708333333334
312,29068181,STG2,44.083333333333336
313,29068187,STG2,1248.4166666666672
314,29068407,STG2,255.58333333333334
315,29068488,STG2,183.08333333333331
316,29068512,STG2,1126.3333333333328
317,29068523,STG2,377.0
318,29068526,STG2,1640.2083333333333
319,29068542,STG2,84.5
320,29068578,STG2,419.0
321,29068685,STG2,173.41666666666666
322,29068709,STG2,44.083333333333336
323,29068712,STG2,223.5
324,29068716,STG2,386.6666666666667
325,29068721,STG2,100.41666666666666
326,29068881,STG2,247.5
327,29069037,STG2,395.0
328,29069114,STG2,312.16666666666663
329,29069610,STG2,189.58333333333337
330,29069642,STG2,419.0000000000001
331,29069644,STG2,68.33333333333334
332,29071682,STG2,338.4166666666667
333,29071762,STG2,2658.3333333333358
334,29071771,STG2,44.083333333333336
335,29071860,STG2,474.25
336,29071983,STG2,449.75
337,29071998,STG2,237.83333333333334
338,29072037,STG2,3005.0000000000014
339,29072120,STG2,410.0416666666674
340,29072266,STG2,36.0
341,29072297,STG2,36.0
342,29072316,STG2,231.33333333333334
343,29072341,STG2,36.0
344,29072442,STG2,255.83333333333334
345,29072515,STG2,737.4166666666667
346,29072562,STG2,592.1666666666665
347,29072661,STG2,116.58333333333334
348,29072695,STG2,148.91666666666669
349,29072739,STG2,150.5
350,29072821,STG2,145.125
351,29072823,STG2,197.41666666666666
352,29072929,STG2,474.25
353,29072979,STG2,659.0416666666666
354,29072982,STG2,76.16666666666666
355,29073055,STG2,118.41666666666666
356,29073060,STG2,270.41666666666663
357,29073104,STG2,287.91666666666663
358,29073124,STG2,491.75
359,29073129,STG2,328.33333333333337
360,29073140,STG2,189.33333333333334
361,29073141,STG2,247.5
362,29073155,STG2,336.5833333333333
363,29073186,STG2,140.83333333333331
364,29073187,STG2,44.083333333333336
365,29073195,STG2,456.95833333333326
366,29073410,STG2,404.41666666666674
367,29073436,STG2,132.75
368,29073477,STG2,2146.2083333333344
369,29073485,STG2,149.16666666666669
370,29073504,STG2,278.25
371,29073621,STG2,190.91666666666677
372,29073716,STG2,534.4583333333337
373,29073719,STG2,174.75
374,29073744,STG2,847.5
375,29073772,STG2,746.2916666666665
376,29073909,STG2,158.58333333333334
377,29073914,STG2,296.4166666666667
378,29074023,STG2,1072.6250000000011
379,29074094,STG2,189.45833333333331
380,29074133,STG2,1460.2916666666658
381,29074151,STG2,510.4583333333337
382,29074207,STG2,100.41666666666666
383,29074250,STG2,100.41666666666666
384,29074256,STG2,148.91666666666669
385,29074287,STG2,506.3333333333333
386,29074305,STG2,1660.5416666666677
387,29074306,STG2,183.08333333333331
388,29074331,STG2,44.083333333333336
389,29074332,STG2,100.41666666666666
390,29074400,STG2,296.0
391,29074438,STG2,416.54166666666663
392,29074446,STG2,296.0
393,29074475,STG2,591.7916666666671
394,29074488,STG2,344.6666666666667
395,29074511,STG2,2128.875000000001
396,29074520,STG2,36.0
397,29074547,STG2,133.0
398,29074571,STG2,150.75
399,29074603,STG2,510.4583333333338
400,29074642,STG2,833.6666666666665
401,29074742,STG2,534.4583333333337
402,29074745,STG2,231.3333333333335
403,29074750,STG2,1883.0000000000007
404,29075001,STG2,534.4583333333336
405,29075023,STG2,44.083333333333336
406,29075237,STG2,1267.5833333333344
407,29075814,STG2,116.83333333333333
408,29076939,STG2,635.2500000000003
409,29077396,STG2,223.25
410,29077709,STG2,552.3749999999999
411,29077721,STG2,1040.208333333334
412,29077872,STG2,207.08333333333331
413,29078088,STG2,124.66666666666667
414,29078136,STG2,433.8333333333333
415,29078148,STG2,140.83333333333331
416,29078258,STG2,150.75
417,29078561,STG2,36.0
418,29078588,STG2,534.4583333333335
419,29078603,STG2,419.0
420,29078680,STG2,36.0
421,29078688,STG2,52.16666666666667
422,29078689,STG2,443.5
423,29078700,STG2,52.16666666666667
424,29078762,STG2,279.83333333333337
425,29078892,STG2,84.25
426,29078907,STG2,2064.8750000000005
427,29079012,STG2,36.0
428,29079100,STG2,1392.8750000000007
429,29079253,STG2,433.8333333333333
430,29079277,STG2,255.58333333333334
431,29079292,STG2,451.3333333333333
432,29079332,STG2,44.083333333333336
433,29079343,STG2,182.83333333333331
434,29079388,STG2,126.5
435,29079390,STG2,78.0
436,29079433,STG2,559.8333333333331
437,29079526,STG2,550.7500000000002
438,29079535,STG2,815.1250000000013
439,29079580,STG2,296.0
440,29079615,STG2,100.41666666666666
441,29079620,STG2,68.33333333333334
